areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
87	Longueuil–Charles-LeMoyne	0	68	99.99993	1	23	3	3	6	9	0	0	4	0	1	1	10	7	0	0.00007
88	Lévis–Lotbinière	0	288	99.99994	3	94	31	1	4	3	0	2	9	1	1	2	137	0	0	0.00006
89	Longueuil–Saint-Hubert	0	53	99.99996	0	29	2	1	3	3	0	0	5	1	1	1	2	5	0	0.00004
90	Louis-Hébert	0	169	99.99994	0	91	10	0	9	6	1	0	17	0	1	1	28	5	0	0.00006
91	Louis-Saint-Laurent	0	177	99.99994	5	107	2	1	5	4	0	1	39	1	0	0	11	1	0	0.00006
92	Manicouagan	0	35	99.99998	1	22	0	0	1	0	0	0	4	5	0	0	2	0	0	0.00002
93	Mégantic–L'Érable	0	325	99.99997	3	61	5	0	1	3	0	0	3	0	1	0	247	1	0	0.00003
94	Mirabel	0	63	99.99996	0	25	2	0	6	0	0	0	1	1	0	0	25	3	0	0.00004
95	Montarville	0	47	99.99993	3	17	2	1	7	4	1	0	0	0	2	0	10	0	0	0.00007
96	Montcalm	0	46	99.99998	1	21	10	0	1	0	0	0	4	0	0	0	7	2	0	0.00002
97	Montmagny–L'Islet–Kamouraska–Rivière-du-Loup	0	211	99.99995	0	28	5	0	1	0	0	1	8	2	2	0	163	1	0	0.00005
98	Mont-Royal (Mount Royal)	0	235	99.99995	12	128	3	13	16	3	0	3	13	2	6	1	19	16	0	0.00005
99	Notre-Dame-de-Grâce–Westmount	0	269	99.99994	2	126	2	42	10	14	1	1	15	7	5	3	20	20	0	0.00006
100	Outremont	0	121	99.99993	1	35	2	40	11	4	0	0	6	8	3	0	6	5	0	0.00007
101	Papineau	0	52	99.99995	0	26	0	5	4	2	0	2	1	0	1	0	10	1	0	0.00005
102	Pierrefonds–Dollard	0	221	99.99995	0	107	2	1	36	11	0	5	6	1	1	1	35	14	0	0.00005
103	Pontiac	0	292	99.99995	0	77	2	28	30	38	1	1	41	0	6	0	52	16	0	0.00005
104	Portneuf–Jacques-Cartier	0	191	99.99998	1	63	3	0	8	0	0	3	25	2	0	1	84	1	0	0.00002
105	Québec	0	74	99.99995	3	36	3	3	6	4	1	0	11	0	1	0	5	1	0	0.00005
106	Repentigny	0	19	99.99995	0	5	0	0	2	2	0	1	3	0	1	0	5	0	0	0.00005
107	Richmond–Arthabaska	0	194	99.99995	1	17	4	0	1	2	0	0	3	1	2	0	163	0	0	0.00005
108	Rivière-des-Mille-Îles	0	47	99.99994	1	26	0	0	2	4	0	0	4	0	0	0	7	3	0	0.00006
109	Rivière-du-Nord	0	20	100	0	12	1	0	2	0	0	0	1	0	0	0	4	0	0	0.00000
110	Rosemont–La Petite-Patrie	0	40	99.99996	0	11	2	11	0	3	0	0	2	0	1	0	5	4	0	0.00004
